Embalaje,Ancho,Largo,Alto,Procedencia,Manipulacion,Temperatura,Protocolo
1,23,97,93,10,1,1,1
1,94,83,37,30,1,2,1
2,40,37,36,20,2,1,2
2,28,64,81,20,2,1,2
2,15,28,17,20,2,1,2
1,9,14,84,30,1,2,1
2,38,94,76,40,2,2,2
1,18,93,100,30,1,2,1
2,37,25,58,40,2,2,2
1,20,76,5,30,1,2,1
2,10,68,25,40,2,2,2
2,59,42,9,20,2,1,2
1,73,11,13,30,1,2,1
2,98,94,56,20,2,1,2
2,40,86,87,40,2,2,2
1,79,76,55,30,1,2,1
2,67,19,81,40,2,2,2
2,81,70,59,40,2,2,2
2,93,75,62,20,2,1,2
1,5,90,81,30,1,2,1
2,18,65,60,20,2,1,2
1,21,67,91,10,1,1,1
2,69,9,48,40,2,2,2
1,97,98,88,30,1,2,1
2,18,83,18,20,2,1,2
1,68,92,35,10,1,1,1
2,27,5,23,40,2,2,2
1,40,68,35,30,1,2,1
2,64,64,6,20,2,1,2
1,53,94,82,10,1,1,1
1,22,81,99,30,1,2,1
1,97,40,63,10,1,1,1
2,37,46,62,20,2,1,2
1,29,84,6,10,1,1,1
2,25,59,9,40,2,2,2
1,100,27,60,10,1,1,1
1,11,9,48,10,1,1,1
1,96,74,31,10,1,1,1
2,63,87,16,20,2,1,2
2,5,38,50,40,2,2,2
1,79,41,33,10,1,1,1
1,45,5,72,30,1,2,1
2,13,42,88,20,2,1,2
2,55,46,41,40,2,2,2
1,29,35,46,30,1,2,1
1,90,71,69,30,1,2,1
2,85,32,51,40,2,2,2
1,74,91,5,10,1,1,1
1,55,48,31,10,1,1,1
2,58,96,35,20,2,1,2
2,38,69,55,40,2,2,2
2,44,55,30,20,2,1,2
1,13,61,55,10,1,1,1
1,84,15,92,10,1,1,1
1,50,16,87,10,1,1,1
2,30,57,55,20,2,1,2
2,13,57,23,40,2,2,2
2,57,52,73,20,2,1,2
1,85,41,51,30,1,2,1
1,93,81,96,10,1,1,1
2,97,65,83,20,2,1,2
2,6,92,97,40,2,2,2
1,77,80,45,10,1,1,1
2,35,49,88,20,2,1,2
1,83,44,65,10,1,1,1
1,26,25,24,30,1,2,1
2,32,51,26,40,2,2,2
1,20,95,38,10,1,1,1
2,91,37,21,40,2,2,2
2,5,19,77,20,2,1,2
1,32,77,19,30,1,2,1
2,72,59,60,20,2,1,2
2,80,53,11,40,2,2,2
2,13,43,63,40,2,2,2
2,56,42,80,20,2,1,2
2,89,18,60,20,2,1,2
2,37,12,42,40,2,2,2
2,57,18,39,40,2,2,2
1,56,37,77,10,1,1,1
1,76,30,49,30,1,2,1
1,82,41,78,30,1,2,1
1,39,96,41,10,1,1,1
2,34,90,47,40,2,2,2
2,68,44,7,20,2,1,2
1,91,70,24,10,1,1,1
2,36,36,79,40,2,2,2
2,97,64,20,20,2,1,2
1,69,90,70,10,1,1,1
2,27,39,70,20,2,1,2
1,65,15,35,10,1,1,1
2,11,64,34,20,2,1,2
2,31,99,88,40,2,2,2
1,5,19,36,30,1,2,1
1,54,52,54,10,1,1,1
1,46,36,45,10,1,1,1
1,62,18,58,10,1,1,1
1,96,18,43,30,1,2,1
2,92,86,32,20,2,1,2
1,13,26,64,10,1,1,1
2,23,64,66,20,2,1,2
2,86,98,24,40,2,2,2
2,16,75,74,40,2,2,2
1,76,17,8,10,1,1,1
1,91,18,70,10,1,1,1
2,26,33,64,40,2,2,2
2,13,25,8,20,2,1,2
2,69,33,78,40,2,2,2
2,68,19,24,20,2,1,2
1,29,94,83,30,1,2,1
2,54,72,51,40,2,2,2
2,91,82,11,20,2,1,2
1,93,73,91,10,1,1,1
1,30,54,25,30,1,2,1
1,49,74,54,10,1,1,1
2,82,91,83,20,2,1,2
1,88,37,63,10,1,1,1
1,48,26,55,30,1,2,1
2,46,49,56,20,2,1,2
2,33,15,51,20,2,1,2
1,12,67,20,30,1,2,1
2,81,12,50,20,2,1,2
2,38,39,93,40,2,2,2
2,52,74,27,40,2,2,2
1,30,61,93,10,1,1,1
2,96,22,60,20,2,1,2
2,53,97,27,40,2,2,2
2,69,80,27,40,2,2,2
1,78,43,81,10,1,1,1
1,10,61,68,30,1,2,1
2,92,54,11,20,2,1,2
2,47,12,27,40,2,2,2
1,67,12,71,10,1,1,1
1,24,48,53,30,1,2,1
1,42,13,57,10,1,1,1
2,5,31,48,40,2,2,2
1,18,98,32,10,1,1,1
2,67,52,10,40,2,2,2
1,33,38,22,30,1,2,1
1,28,52,55,30,1,2,1
2,39,30,47,20,2,1,2
1,97,5,23,10,1,1,1
2,43,61,96,40,2,2,2
2,53,45,94,40,2,2,2
2,91,5,80,40,2,2,2
1,29,93,67,10,1,1,1
2,81,63,99,40,2,2,2
1,98,84,28,10,1,1,1
2,78,97,16,40,2,2,2
1,70,19,25,30,1,2,1
2,61,54,39,20,2,1,2
1,38,63,31,10,1,1,1
1,28,64,21,30,1,2,1
2,85,53,46,20,2,1,2
2,87,43,85,40,2,2,2
2,30,33,65,20,2,1,2
2,48,48,97,20,2,1,2
2,98,17,99,20,2,1,2
1,21,18,14,30,1,2,1
1,88,71,95,30,1,2,1
2,8,16,62,40,2,2,2
2,98,71,56,40,2,2,2
2,56,47,12,20,2,1,2
1,6,29,69,10,1,1,1
1,31,94,72,30,1,2,1
1,34,20,95,10,1,1,1
2,44,17,22,40,2,2,2
1,24,82,68,30,1,2,1
1,20,79,50,30,1,2,1
2,43,70,32,40,2,2,2
1,61,51,87,30,1,2,1
2,86,62,81,20,2,1,2
2,34,84,96,20,2,1,2
2,35,62,81,40,2,2,2
1,43,8,20,10,1,1,1
2,65,12,16,40,2,2,2
2,64,62,97,40,2,2,2
2,22,23,65,40,2,2,2
2,45,41,64,40,2,2,2
1,23,42,71,30,1,2,1
2,83,27,49,40,2,2,2
1,37,23,87,10,1,1,1
1,42,97,51,30,1,2,1
2,13,44,76,40,2,2,2
2,78,32,87,40,2,2,2
1,97,72,78,30,1,2,1
1,93,73,52,10,1,1,1
2,58,63,48,20,2,1,2
2,72,13,35,40,2,2,2
2,84,45,88,20,2,1,2
1,63,49,22,30,1,2,1
2,49,64,40,40,2,2,2
2,27,90,76,40,2,2,2
1,37,27,24,30,1,2,1
1,51,8,73,10,1,1,1
2,87,58,58,20,2,1,2
2,13,69,49,40,2,2,2
1,28,12,82,30,1,2,1
1,27,50,56,30,1,2,1
1,42,80,42,10,1,1,1
1,79,88,20,30,1,2,1
2,12,92,34,20,2,1,2
1,25,52,45,30,1,2,1
2,18,22,87,20,2,1,2
2,81,38,29,40,2,2,2
1,40,62,70,30,1,2,1
1,64,74,69,10,1,1,1
1,31,84,62,10,1,1,1
1,14,82,72,30,1,2,1
2,22,78,98,40,2,2,2
2,75,15,39,40,2,2,2
2,5,64,37,40,2,2,2
2,19,67,79,40,2,2,2
2,35,22,97,20,2,1,2
1,46,35,45,30,1,2,1
1,90,76,93,30,1,2,1
1,22,42,11,10,1,1,1
2,41,45,18,20,2,1,2
2,91,49,35,40,2,2,2
2,44,96,8,20,2,1,2
2,54,33,75,40,2,2,2
2,68,49,76,40,2,2,2
2,62,14,64,20,2,1,2
2,32,22,90,40,2,2,2
2,60,84,19,40,2,2,2
2,8,49,14,20,2,1,2
2,90,83,82,40,2,2,2
2,42,6,13,40,2,2,2
2,89,5,92,40,2,2,2
1,42,53,23,30,1,2,1
2,15,37,46,20,2,1,2
2,93,27,72,40,2,2,2
2,81,94,71,20,2,1,2
1,24,26,8,10,1,1,1
1,18,90,75,30,1,2,1
1,94,40,81,10,1,1,1
1,16,54,35,30,1,2,1
1,17,48,84,30,1,2,1
2,81,33,36,40,2,2,2
1,51,80,88,30,1,2,1
2,68,75,54,40,2,2,2
1,77,45,81,30,1,2,1
2,7,92,57,20,2,1,2
2,98,90,51,40,2,2,2
2,93,87,92,20,2,1,2
1,93,29,38,10,1,1,1
1,67,33,52,30,1,2,1
2,8,28,95,40,2,2,2
2,95,79,79,20,2,1,2
2,63,63,74,20,2,1,2
2,51,76,93,20,2,1,2
2,75,79,64,20,2,1,2
1,66,9,72,30,1,2,1
1,17,15,27,10,1,1,1
1,9,55,47,10,1,1,1
1,66,23,85,30,1,2,1
1,55,36,24,30,1,2,1
2,80,56,56,40,2,2,2
1,71,67,88,10,1,1,1
1,91,78,84,30,1,2,1
1,15,73,84,10,1,1,1
2,20,34,92,40,2,2,2
2,71,13,12,20,2,1,2
2,61,72,55,40,2,2,2
2,30,97,29,20,2,1,2
2,61,61,56,40,2,2,2
1,39,83,37,10,1,1,1
1,94,96,60,30,1,2,1
1,71,93,76,30,1,2,1
1,61,67,69,30,1,2,1
2,29,92,91,40,2,2,2
2,97,67,68,40,2,2,2
1,57,6,31,10,1,1,1
1,37,34,53,30,1,2,1
1,85,88,88,30,1,2,1
1,50,49,32,30,1,2,1
1,42,58,91,10,1,1,1
1,64,30,76,30,1,2,1
2,17,44,54,20,2,1,2
1,24,95,40,10,1,1,1
2,27,92,70,20,2,1,2
2,40,52,63,20,2,1,2
2,10,47,56,40,2,2,2
1,6,38,6,10,1,1,1
2,80,18,77,20,2,1,2
2,99,50,38,40,2,2,2
1,76,41,53,30,1,2,1
2,79,66,97,40,2,2,2
1,79,52,61,10,1,1,1
1,85,19,95,10,1,1,1
2,87,98,60,20,2,1,2
1,33,15,14,10,1,1,1
1,89,38,45,30,1,2,1
2,30,40,30,40,2,2,2
1,82,65,100,30,1,2,1
1,62,67,89,10,1,1,1
1,14,38,11,30,1,2,1
2,67,48,81,40,2,2,2
2,42,99,24,20,2,1,2
1,28,16,86,30,1,2,1
2,91,5,75,40,2,2,2
2,6,80,29,40,2,2,2
2,56,5,74,20,2,1,2
2,73,27,71,20,2,1,2
1,19,64,83,10,1,1,1
2,31,60,72,40,2,2,2
2,50,29,8,40,2,2,2
1,87,57,58,30,1,2,1
1,82,8,24,30,1,2,1
1,86,49,89,30,1,2,1
1,74,68,58,30,1,2,1
1,62,43,71,10,1,1,1
2,56,95,97,20,2,1,2
2,11,90,14,40,2,2,2
1,48,47,83,30,1,2,1
1,63,47,87,30,1,2,1
2,19,13,21,20,2,1,2
2,20,89,24,20,2,1,2
1,19,54,78,10,1,1,1
1,62,41,63,10,1,1,1
2,80,38,47,20,2,1,2
2,87,7,33,20,2,1,2
1,65,36,51,30,1,2,1
2,67,83,18,20,2,1,2
1,38,77,28,30,1,2,1
2,31,8,90,20,2,1,2
2,64,75,61,20,2,1,2
1,96,66,44,10,1,1,1
2,90,94,10,40,2,2,2
2,32,77,71,20,2,1,2
1,90,94,40,30,1,2,1
2,32,28,95,20,2,1,2
2,64,90,46,40,2,2,2
1,80,24,68,30,1,2,1
2,15,47,47,20,2,1,2
2,31,44,48,40,2,2,2
1,28,100,46,10,1,1,1
1,46,100,61,10,1,1,1
2,51,100,72,20,2,1,2
1,52,17,77,10,1,1,1
1,54,64,18,10,1,1,1
2,62,44,43,20,2,1,2
2,56,15,6,20,2,1,2
2,87,12,49,20,2,1,2
1,98,81,27,30,1,2,1
2,79,80,44,40,2,2,2
1,22,68,62,30,1,2,1
1,12,23,40,10,1,1,1
2,24,23,16,20,2,1,2
2,85,45,77,40,2,2,2
1,12,63,26,10,1,1,1
1,97,24,18,10,1,1,1
2,16,24,77,20,2,1,2
1,75,29,30,30,1,2,1
1,30,42,86,10,1,1,1
1,98,14,11,10,1,1,1
2,73,41,22,20,2,1,2
1,27,72,99,10,1,1,1
2,55,9,25,40,2,2,2
1,65,32,71,30,1,2,1
2,61,19,97,40,2,2,2
2,49,37,94,40,2,2,2
2,85,13,66,40,2,2,2
2,48,57,38,20,2,1,2
1,40,95,92,30,1,2,1
2,100,97,9,20,2,1,2
1,38,15,5,10,1,1,1
2,23,37,30,40,2,2,2
2,51,43,6,40,2,2,2
1,100,10,97,30,1,2,1
2,24,85,72,40,2,2,2
2,77,53,73,40,2,2,2
2,99,62,29,20,2,1,2
2,84,62,17,40,2,2,2
2,57,32,74,20,2,1,2
1,60,82,50,10,1,1,1
2,45,79,28,40,2,2,2
2,12,96,22,40,2,2,2
2,71,38,8,20,2,1,2
2,58,87,53,20,2,1,2
1,95,77,30,30,1,2,1
1,99,78,98,10,1,1,1
2,63,27,93,40,2,2,2
1,88,68,65,30,1,2,1
1,32,29,100,30,1,2,1
1,94,44,79,10,1,1,1
2,31,24,68,40,2,2,2
1,5,87,42,10,1,1,1
1,83,29,74,30,1,2,1
2,20,89,81,40,2,2,2
2,58,58,98,20,2,1,2
2,32,51,44,40,2,2,2
2,36,99,23,20,2,1,2
2,95,35,38,20,2,1,2
1,17,36,18,10,1,1,1
1,80,23,22,10,1,1,1
2,61,78,88,40,2,2,2
1,82,46,63,10,1,1,1
2,29,26,47,40,2,2,2
1,16,38,55,30,1,2,1
1,57,56,97,10,1,1,1
2,59,30,52,40,2,2,2
1,84,8,83,10,1,1,1
1,55,86,88,30,1,2,1
2,14,26,60,40,2,2,2
2,80,30,30,20,2,1,2
2,32,7,40,20,2,1,2
1,23,35,47,10,1,1,1
1,21,59,54,30,1,2,1
2,69,33,52,40,2,2,2
1,71,15,50,30,1,2,1
1,29,77,15,10,1,1,1
1,81,31,40,10,1,1,1
1,16,55,8,10,1,1,1
2,45,15,68,20,2,1,2
1,91,65,74,30,1,2,1
1,27,6,45,10,1,1,1
2,50,72,25,40,2,2,2
1,19,23,90,10,1,1,1
1,13,49,50,10,1,1,1
1,69,58,14,10,1,1,1
2,16,94,40,40,2,2,2
2,69,78,39,40,2,2,2
1,16,58,40,10,1,1,1
1,19,85,37,10,1,1,1
2,9,15,59,40,2,2,2
1,80,96,69,30,1,2,1
1,50,44,77,10,1,1,1
1,100,70,47,10,1,1,1
2,18,73,70,40,2,2,2
2,62,98,52,20,2,1,2
2,82,72,61,40,2,2,2
1,52,30,67,10,1,1,1
2,87,46,88,20,2,1,2
1,36,87,96,10,1,1,1
1,34,90,53,10,1,1,1
1,5,34,70,30,1,2,1
2,81,62,65,20,2,1,2
1,94,80,89,10,1,1,1
2,50,31,75,40,2,2,2
1,8,19,13,30,1,2,1
2,21,13,37,20,2,1,2
2,15,7,47,20,2,1,2
1,47,65,74,30,1,2,1
1,72,67,71,10,1,1,1
2,82,80,45,40,2,2,2
2,84,97,10,40,2,2,2
2,80,75,50,20,2,1,2
1,43,43,100,10,1,1,1
1,11,69,26,10,1,1,1
2,15,65,35,40,2,2,2
2,23,77,27,20,2,1,2
2,91,88,21,40,2,2,2
2,36,61,35,40,2,2,2
2,51,82,82,40,2,2,2
2,98,31,43,40,2,2,2
2,77,73,57,40,2,2,2
2,81,77,65,40,2,2,2
1,62,92,12,10,1,1,1
2,68,95,85,20,2,1,2
1,34,83,44,30,1,2,1
2,22,7,5,20,2,1,2
1,15,33,71,30,1,2,1
1,49,67,72,30,1,2,1
1,22,15,40,10,1,1,1
2,20,46,16,20,2,1,2
2,41,28,38,20,2,1,2
1,57,6,61,10,1,1,1
1,100,95,91,10,1,1,1
2,97,58,97,40,2,2,2
2,100,82,54,20,2,1,2
1,35,18,86,30,1,2,1
2,36,24,85,20,2,1,2
1,9,59,76,30,1,2,1
1,96,98,6,10,1,1,1
1,45,83,92,30,1,2,1
2,74,97,31,20,2,1,2
1,57,41,71,10,1,1,1
2,64,40,100,40,2,2,2
2,69,35,20,40,2,2,2
2,99,28,15,40,2,2,2
1,89,57,68,10,1,1,1
2,98,56,54,20,2,1,2
2,32,85,27,40,2,2,2
2,85,50,84,40,2,2,2
2,82,13,11,40,2,2,2
1,6,55,42,10,1,1,1
1,53,23,39,10,1,1,1
2,81,60,96,20,2,1,2
2,87,38,96,20,2,1,2
2,90,7,82,20,2,1,2
2,77,58,89,20,2,1,2
1,94,95,57,30,1,2,1
1,23,64,73,30,1,2,1
1,54,57,13,30,1,2,1
2,88,75,95,40,2,2,2
2,93,90,90,40,2,2,2
1,30,76,73,10,1,1,1
2,19,5,34,20,2,1,2
1,92,40,89,30,1,2,1
2,68,75,14,40,2,2,2
2,30,26,42,20,2,1,2
2,21,99,88,20,2,1,2
1,89,84,77,30,1,2,1
2,63,63,53,20,2,1,2
2,47,78,81,20,2,1,2
2,14,6,61,40,2,2,2
1,38,67,34,30,1,2,1
1,5,21,49,30,1,2,1
2,51,58,90,20,2,1,2
2,8,90,29,20,2,1,2
2,43,50,61,20,2,1,2
1,7,29,62,30,1,2,1
1,89,98,59,30,1,2,1
1,50,76,29,30,1,2,1
2,37,27,86,40,2,2,2
1,5,30,18,10,1,1,1
2,96,19,72,20,2,1,2
2,11,35,64,20,2,1,2
2,95,22,100,40,2,2,2
2,24,51,60,40,2,2,2
1,88,57,99,30,1,2,1
1,25,50,95,30,1,2,1
1,37,7,73,30,1,2,1
1,66,25,34,10,1,1,1
1,22,49,6,10,1,1,1
1,97,58,87,30,1,2,1
2,67,52,48,20,2,1,2
1,100,60,77,10,1,1,1
2,57,18,42,40,2,2,2
1,76,83,41,30,1,2,1
1,76,98,42,30,1,2,1
1,18,65,83,30,1,2,1
1,36,93,73,30,1,2,1
2,38,56,10,40,2,2,2
2,84,34,12,40,2,2,2
2,93,43,67,40,2,2,2
1,29,57,44,30,1,2,1
2,41,78,34,40,2,2,2
2,51,75,12,20,2,1,2
2,59,30,35,20,2,1,2
1,82,99,32,30,1,2,1
2,23,42,13,40,2,2,2
2,62,93,75,40,2,2,2
1,94,24,18,10,1,1,1
1,55,84,55,10,1,1,1
1,85,47,56,30,1,2,1
1,99,99,35,10,1,1,1
1,39,99,97,30,1,2,1
2,16,100,15,20,2,1,2
1,62,41,60,10,1,1,1
2,63,49,67,20,2,1,2
2,40,64,53,40,2,2,2
1,56,21,89,10,1,1,1
2,42,25,70,40,2,2,2
1,20,90,85,10,1,1,1
2,25,71,28,40,2,2,2
2,48,13,67,40,2,2,2
2,47,64,27,40,2,2,2
2,52,91,15,40,2,2,2
2,13,8,57,40,2,2,2
1,79,49,48,30,1,2,1
2,39,78,44,20,2,1,2
2,57,59,81,20,2,1,2
1,8,20,76,10,1,1,1
1,99,14,15,10,1,1,1
2,5,7,72,20,2,1,2
2,71,96,14,20,2,1,2
2,49,42,98,40,2,2,2
1,96,74,9,10,1,1,1
1,46,67,34,30,1,2,1
1,60,71,41,30,1,2,1
2,21,21,78,20,2,1,2
1,16,55,29,30,1,2,1
2,72,25,38,40,2,2,2
1,16,75,58,10,1,1,1
1,76,77,28,30,1,2,1
1,34,83,15,30,1,2,1
2,53,81,51,20,2,1,2
1,69,98,58,30,1,2,1
1,24,91,22,10,1,1,1
1,26,90,40,10,1,1,1
1,45,81,42,10,1,1,1
2,51,84,18,20,2,1,2
2,56,37,70,40,2,2,2
1,9,34,30,10,1,1,1
1,71,84,37,10,1,1,1
1,45,46,8,30,1,2,1
1,85,43,16,30,1,2,1
1,83,51,14,10,1,1,1
2,67,34,6,20,2,1,2
2,36,29,19,40,2,2,2
2,59,99,92,40,2,2,2
1,20,83,76,10,1,1,1
2,37,45,95,20,2,1,2
1,84,83,5,30,1,2,1
2,30,61,64,20,2,1,2
2,99,98,88,40,2,2,2
2,89,89,53,40,2,2,2
2,70,7,49,20,2,1,2
1,65,22,70,10,1,1,1
2,13,82,85,20,2,1,2
2,79,68,97,40,2,2,2
1,55,44,13,10,1,1,1
2,52,60,50,40,2,2,2
1,29,52,20,10,1,1,1
2,91,53,8,20,2,1,2
2,48,52,49,40,2,2,2
2,68,57,76,20,2,1,2
2,34,44,87,20,2,1,2
2,95,20,56,40,2,2,2
2,44,29,75,40,2,2,2
2,87,53,51,40,2,2,2
1,14,94,49,10,1,1,1
2,34,14,68,40,2,2,2
1,91,13,60,10,1,1,1
2,20,38,14,20,2,1,2
2,76,81,31,40,2,2,2
2,61,47,20,20,2,1,2
2,75,82,30,40,2,2,2
1,6,90,22,30,1,2,1
1,23,37,59,30,1,2,1
1,43,77,19,30,1,2,1
2,25,38,24,40,2,2,2
2,10,40,82,40,2,2,2
1,35,46,14,30,1,2,1
2,42,87,89,40,2,2,2
1,71,96,83,10,1,1,1
2,19,18,51,20,2,1,2
2,20,33,97,40,2,2,2
2,17,68,32,20,2,1,2
2,57,52,96,20,2,1,2
1,38,97,50,10,1,1,1
2,36,100,52,40,2,2,2
1,79,42,87,30,1,2,1
1,61,57,70,10,1,1,1
1,49,91,11,30,1,2,1
1,47,77,44,30,1,2,1
2,24,59,30,20,2,1,2
2,64,22,49,40,2,2,2
2,5,44,8,20,2,1,2
1,31,81,15,10,1,1,1
2,82,45,71,40,2,2,2
2,24,67,45,20,2,1,2
2,71,55,98,20,2,1,2
1,38,72,84,30,1,2,1
1,69,54,22,30,1,2,1
2,34,55,33,40,2,2,2
1,20,85,40,30,1,2,1
1,91,68,36,30,1,2,1
1,33,38,45,10,1,1,1
2,83,53,82,40,2,2,2
2,62,62,7,20,2,1,2
1,11,95,83,10,1,1,1
2,37,47,50,20,2,1,2
2,42,14,14,40,2,2,2
2,47,28,89,20,2,1,2
1,37,92,56,30,1,2,1
1,61,86,10,30,1,2,1
2,15,92,49,40,2,2,2
2,15,86,32,40,2,2,2
2,67,29,35,40,2,2,2
1,16,86,49,30,1,2,1
2,51,79,71,40,2,2,2
1,54,76,67,10,1,1,1
1,28,6,64,10,1,1,1
2,97,50,74,20,2,1,2
2,100,77,65,20,2,1,2
1,13,93,8,30,1,2,1
1,80,16,5,10,1,1,1
2,74,30,64,20,2,1,2
1,24,32,51,30,1,2,1
2,5,8,21,20,2,1,2
2,44,18,79,20,2,1,2
1,80,46,51,30,1,2,1
2,71,33,91,20,2,1,2
1,64,70,98,10,1,1,1
1,89,22,19,30,1,2,1
1,10,86,48,30,1,2,1
1,35,46,98,10,1,1,1
1,42,72,35,30,1,2,1
1,90,70,36,10,1,1,1
1,53,31,22,10,1,1,1
2,44,36,56,40,2,2,2
1,17,7,77,10,1,1,1
1,38,10,26,30,1,2,1
1,49,80,56,10,1,1,1
2,39,33,21,20,2,1,2
2,34,82,93,20,2,1,2
2,19,25,83,20,2,1,2
1,41,9,30,30,1,2,1
2,12,68,8,40,2,2,2
1,91,48,14,30,1,2,1
2,87,80,30,40,2,2,2
1,75,39,26,10,1,1,1
2,90,6,56,20,2,1,2
1,24,33,91,10,1,1,1
1,49,14,49,30,1,2,1
2,54,42,97,20,2,1,2
1,6,99,25,30,1,2,1
2,75,67,83,40,2,2,2
1,46,21,55,10,1,1,1
1,22,65,69,30,1,2,1
1,23,94,37,10,1,1,1
1,19,65,77,30,1,2,1
2,87,57,37,20,2,1,2
1,15,37,24,30,1,2,1
1,26,23,56,10,1,1,1
1,77,14,56,30,1,2,1
2,79,6,23,20,2,1,2
1,97,42,35,10,1,1,1
1,74,73,31,10,1,1,1
1,10,61,23,30,1,2,1
1,13,68,19,10,1,1,1
2,82,91,57,40,2,2,2
1,28,36,100,10,1,1,1
2,30,93,37,20,2,1,2
1,53,15,20,10,1,1,1
1,7,5,35,30,1,2,1
2,54,34,40,20,2,1,2
2,58,43,74,20,2,1,2
2,95,14,50,20,2,1,2
2,64,56,23,40,2,2,2
1,64,60,97,10,1,1,1
2,11,74,93,40,2,2,2
2,83,5,83,20,2,1,2
1,70,72,11,30,1,2,1
2,100,7,72,20,2,1,2
2,58,11,53,20,2,1,2
1,41,70,55,10,1,1,1
1,55,11,42,10,1,1,1
2,69,50,51,20,2,1,2
1,89,14,92,30,1,2,1
1,60,27,66,10,1,1,1
2,27,49,76,40,2,2,2
1,83,59,32,10,1,1,1
1,87,89,92,10,1,1,1
2,9,99,45,40,2,2,2
2,38,60,16,40,2,2,2
2,27,97,90,40,2,2,2
1,37,54,48,10,1,1,1
2,69,39,59,20,2,1,2
1,28,73,18,30,1,2,1
2,67,96,74,40,2,2,2
1,56,51,5,30,1,2,1
2,92,46,53,20,2,1,2
1,59,49,19,30,1,2,1
2,76,50,49,20,2,1,2
2,41,65,54,20,2,1,2
2,84,48,57,20,2,1,2
1,46,43,58,10,1,1,1
1,60,76,76,10,1,1,1
1,13,34,65,10,1,1,1
2,37,54,92,40,2,2,2
2,85,98,46,20,2,1,2
1,78,7,17,10,1,1,1
1,65,62,92,30,1,2,1
2,78,90,79,20,2,1,2
1,57,95,89,30,1,2,1
1,19,37,39,30,1,2,1
1,47,91,21,30,1,2,1
2,81,58,60,40,2,2,2
2,51,76,92,40,2,2,2
1,38,78,52,10,1,1,1
1,79,77,36,30,1,2,1
1,52,6,41,10,1,1,1
1,15,64,36,10,1,1,1
2,52,30,63,40,2,2,2
2,8,9,66,20,2,1,2
1,9,40,44,10,1,1,1
2,20,59,87,40,2,2,2
1,16,77,76,30,1,2,1
1,35,10,74,10,1,1,1
1,71,14,82,10,1,1,1
1,26,88,46,30,1,2,1
2,75,78,58,20,2,1,2
2,23,32,68,40,2,2,2
2,41,73,13,20,2,1,2
2,36,82,8,20,2,1,2
1,71,69,73,10,1,1,1
1,19,94,16,10,1,1,1
2,66,57,82,20,2,1,2
2,60,14,68,20,2,1,2
2,91,41,14,20,2,1,2
1,30,100,19,10,1,1,1
2,37,64,18,20,2,1,2
1,21,63,30,30,1,2,1
2,34,64,40,20,2,1,2
1,43,44,22,30,1,2,1
2,88,99,25,40,2,2,2
2,36,27,70,40,2,2,2
2,32,77,82,20,2,1,2
