Embalaje,Ancho,Largo,Alto,Procedencia,Manipulacion,Temperatura,Protocolo
1,30,99,59,C,Normal,Refrigerado,1
2,66,81,43,B,Fragil,Ambiente,2
1,9,71,74,A,Normal,Ambiente,1
1,6,29,54,A,Normal,Ambiente,1
2,77,32,6,B,Fragil,Ambiente,2
2,87,14,36,D,Fragil,Refrigerado,2
2,45,11,76,B,Fragil,Ambiente,2
1,77,9,12,C,Normal,Refrigerado,1
1,55,52,6,A,Normal,Ambiente,1
1,27,25,40,A,Normal,Ambiente,1
2,40,88,40,D,Fragil,Refrigerado,2
1,53,80,27,C,Normal,Refrigerado,1
2,53,24,72,D,Fragil,Refrigerado,2
2,7,36,11,B,Fragil,Ambiente,2
1,14,99,51,A,Normal,Ambiente,1
2,58,9,23,D,Fragil,Refrigerado,2
2,62,91,36,D,Fragil,Refrigerado,2
2,53,42,96,B,Fragil,Ambiente,2
1,24,63,8,C,Normal,Refrigerado,1
2,38,67,79,B,Fragil,Ambiente,2
1,22,7,6,A,Normal,Ambiente,1
2,17,93,85,D,Fragil,Refrigerado,2
2,8,30,6,B,Fragil,Ambiente,2
1,11,64,99,A,Normal,Ambiente,1
1,51,83,74,A,Normal,Ambiente,1
1,72,5,85,A,Normal,Ambiente,1
2,11,9,73,D,Fragil,Refrigerado,2
1,40,52,93,C,Normal,Refrigerado,1
2,63,89,39,D,Fragil,Refrigerado,2
2,74,67,15,B,Fragil,Ambiente,2
1,93,50,38,C,Normal,Refrigerado,1
1,71,61,88,A,Normal,Ambiente,1
1,69,12,5,A,Normal,Ambiente,1
2,7,84,34,D,Fragil,Refrigerado,2
2,69,97,64,B,Fragil,Ambiente,2
1,45,42,22,C,Normal,Refrigerado,1
2,68,74,79,D,Fragil,Refrigerado,2
2,77,90,63,D,Fragil,Refrigerado,2
2,79,49,10,B,Fragil,Ambiente,2
1,95,38,95,A,Normal,Ambiente,1
1,63,24,97,A,Normal,Ambiente,1
1,92,57,62,C,Normal,Refrigerado,1
2,77,86,99,B,Fragil,Ambiente,2
2,80,8,72,D,Fragil,Refrigerado,2
2,41,76,23,D,Fragil,Refrigerado,2
2,81,34,47,B,Fragil,Ambiente,2
1,74,18,17,A,Normal,Ambiente,1
2,48,28,17,D,Fragil,Refrigerado,2
2,78,98,21,D,Fragil,Refrigerado,2
1,30,68,66,C,Normal,Refrigerado,1
2,76,25,78,B,Fragil,Ambiente,2
2,15,8,38,B,Fragil,Ambiente,2
1,45,58,67,A,Normal,Ambiente,1
2,6,15,58,D,Fragil,Refrigerado,2
2,36,97,23,D,Fragil,Refrigerado,2
1,90,35,96,C,Normal,Refrigerado,1
2,24,35,96,D,Fragil,Refrigerado,2
1,63,55,28,A,Normal,Ambiente,1
1,31,34,26,C,Normal,Refrigerado,1
2,24,6,16,D,Fragil,Refrigerado,2
1,16,35,8,A,Normal,Ambiente,1
2,85,89,45,D,Fragil,Refrigerado,2
1,38,63,58,A,Normal,Ambiente,1
1,34,22,58,A,Normal,Ambiente,1
2,9,87,8,D,Fragil,Refrigerado,2
1,53,62,5,A,Normal,Ambiente,1
2,62,68,47,D,Fragil,Refrigerado,2
2,81,93,8,D,Fragil,Refrigerado,2
2,17,17,87,D,Fragil,Refrigerado,2
2,8,16,44,B,Fragil,Ambiente,2
1,15,39,61,A,Normal,Ambiente,1
1,32,94,13,A,Normal,Ambiente,1
1,43,85,100,C,Normal,Refrigerado,1
1,22,25,79,C,Normal,Refrigerado,1
1,44,79,41,C,Normal,Refrigerado,1
2,7,72,99,D,Fragil,Refrigerado,2
1,7,5,36,C,Normal,Refrigerado,1
1,74,21,35,A,Normal,Ambiente,1
1,17,56,93,A,Normal,Ambiente,1
2,17,10,19,D,Fragil,Refrigerado,2
1,20,82,63,A,Normal,Ambiente,1
1,75,18,46,C,Normal,Refrigerado,1
2,19,98,10,D,Fragil,Refrigerado,2
1,95,90,6,C,Normal,Refrigerado,1
1,63,98,45,C,Normal,Refrigerado,1
1,97,76,57,C,Normal,Refrigerado,1
1,15,69,36,A,Normal,Ambiente,1
2,6,66,30,B,Fragil,Ambiente,2
2,22,84,79,D,Fragil,Refrigerado,2
2,26,84,36,D,Fragil,Refrigerado,2
1,72,65,63,C,Normal,Refrigerado,1
2,27,16,35,B,Fragil,Ambiente,2
1,10,5,21,C,Normal,Refrigerado,1
1,73,75,9,C,Normal,Refrigerado,1
2,54,81,100,D,Fragil,Refrigerado,2
2,85,86,67,B,Fragil,Ambiente,2
2,75,65,87,B,Fragil,Ambiente,2
1,70,52,19,A,Normal,Ambiente,1
2,6,23,19,D,Fragil,Refrigerado,2
2,39,93,43,D,Fragil,Refrigerado,2
2,26,79,27,B,Fragil,Ambiente,2
2,68,60,26,D,Fragil,Refrigerado,2
2,30,82,69,D,Fragil,Refrigerado,2
1,88,38,47,A,Normal,Ambiente,1
1,34,50,6,C,Normal,Refrigerado,1
2,84,45,6,B,Fragil,Ambiente,2
2,84,28,12,D,Fragil,Refrigerado,2
1,40,100,22,A,Normal,Ambiente,1
1,91,100,83,A,Normal,Ambiente,1
1,84,100,48,A,Normal,Ambiente,1
2,35,90,20,D,Fragil,Refrigerado,2
2,55,66,33,D,Fragil,Refrigerado,2
1,5,75,79,A,Normal,Ambiente,1
1,79,70,35,C,Normal,Refrigerado,1
1,57,52,45,A,Normal,Ambiente,1
2,61,65,28,B,Fragil,Ambiente,2
1,58,39,86,C,Normal,Refrigerado,1
2,33,74,62,B,Fragil,Ambiente,2
1,37,84,77,C,Normal,Refrigerado,1
1,90,39,14,C,Normal,Refrigerado,1
1,51,27,66,A,Normal,Ambiente,1
1,11,28,21,C,Normal,Refrigerado,1
2,22,64,8,B,Fragil,Ambiente,2
1,51,91,91,A,Normal,Ambiente,1
2,49,20,38,B,Fragil,Ambiente,2
2,82,11,69,D,Fragil,Refrigerado,2
2,80,69,35,B,Fragil,Ambiente,2
2,36,18,46,D,Fragil,Refrigerado,2
1,39,74,33,C,Normal,Refrigerado,1
2,6,25,20,B,Fragil,Ambiente,2
1,64,34,83,C,Normal,Refrigerado,1
2,97,12,14,D,Fragil,Refrigerado,2
1,24,89,27,C,Normal,Refrigerado,1
2,84,54,10,B,Fragil,Ambiente,2
2,53,41,56,D,Fragil,Refrigerado,2
2,12,88,7,D,Fragil,Refrigerado,2
1,48,25,44,C,Normal,Refrigerado,1
1,44,60,80,A,Normal,Ambiente,1
2,40,6,45,D,Fragil,Refrigerado,2
1,77,83,52,A,Normal,Ambiente,1
1,41,17,36,A,Normal,Ambiente,1
2,15,95,84,D,Fragil,Refrigerado,2
2,56,65,94,B,Fragil,Ambiente,2
2,94,78,18,D,Fragil,Refrigerado,2
1,24,79,62,C,Normal,Refrigerado,1
1,38,96,17,C,Normal,Refrigerado,1
2,81,84,17,D,Fragil,Refrigerado,2
2,20,10,75,D,Fragil,Refrigerado,2
1,80,63,26,A,Normal,Ambiente,1
1,93,79,19,A,Normal,Ambiente,1
1,19,71,5,C,Normal,Refrigerado,1
1,50,38,11,A,Normal,Ambiente,1
1,8,16,88,C,Normal,Refrigerado,1
2,39,56,65,B,Fragil,Ambiente,2
1,18,72,96,C,Normal,Refrigerado,1
1,85,72,15,A,Normal,Ambiente,1
2,46,91,24,D,Fragil,Refrigerado,2
1,15,20,91,A,Normal,Ambiente,1
2,21,36,23,D,Fragil,Refrigerado,2
2,70,29,81,D,Fragil,Refrigerado,2
1,25,90,24,A,Normal,Ambiente,1
2,42,58,45,B,Fragil,Ambiente,2
2,80,77,50,B,Fragil,Ambiente,2
1,50,72,68,A,Normal,Ambiente,1
1,58,100,61,C,Normal,Refrigerado,1
1,60,41,83,A,Normal,Ambiente,1
2,47,24,51,B,Fragil,Ambiente,2
1,30,83,49,C,Normal,Refrigerado,1
1,82,8,84,C,Normal,Refrigerado,1
1,55,59,56,A,Normal,Ambiente,1
2,19,61,73,B,Fragil,Ambiente,2
2,100,37,59,B,Fragil,Ambiente,2
2,65,20,13,B,Fragil,Ambiente,2
2,95,62,18,D,Fragil,Refrigerado,2
2,98,28,99,B,Fragil,Ambiente,2
2,43,89,32,D,Fragil,Refrigerado,2
1,11,97,64,C,Normal,Refrigerado,1
1,53,92,19,C,Normal,Refrigerado,1
1,68,48,51,A,Normal,Ambiente,1
2,89,48,52,B,Fragil,Ambiente,2
2,73,97,24,D,Fragil,Refrigerado,2
1,71,61,71,A,Normal,Ambiente,1
2,87,49,98,B,Fragil,Ambiente,2
1,6,41,57,A,Normal,Ambiente,1
1,89,17,89,A,Normal,Ambiente,1
2,14,44,16,B,Fragil,Ambiente,2
1,77,89,44,A,Normal,Ambiente,1
2,70,82,93,B,Fragil,Ambiente,2
2,14,92,75,B,Fragil,Ambiente,2
2,20,63,77,B,Fragil,Ambiente,2
1,100,97,17,A,Normal,Ambiente,1
1,40,50,86,A,Normal,Ambiente,1
2,53,65,15,B,Fragil,Ambiente,2
2,83,9,24,D,Fragil,Refrigerado,2
1,15,18,82,C,Normal,Refrigerado,1
2,80,28,76,D,Fragil,Refrigerado,2
2,52,27,94,D,Fragil,Refrigerado,2
1,24,41,26,A,Normal,Ambiente,1
2,74,93,55,B,Fragil,Ambiente,2
2,94,97,99,B,Fragil,Ambiente,2
2,95,36,53,B,Fragil,Ambiente,2
2,44,25,8,B,Fragil,Ambiente,2
1,73,60,24,C,Normal,Refrigerado,1
2,75,65,83,B,Fragil,Ambiente,2
2,82,68,76,D,Fragil,Refrigerado,2
2,57,61,73,D,Fragil,Refrigerado,2
1,13,48,22,C,Normal,Refrigerado,1
1,15,59,25,A,Normal,Ambiente,1
1,15,37,54,A,Normal,Ambiente,1
2,87,90,73,D,Fragil,Refrigerado,2
1,30,5,34,A,Normal,Ambiente,1
1,96,15,74,A,Normal,Ambiente,1
1,51,33,94,A,Normal,Ambiente,1
2,79,22,67,D,Fragil,Refrigerado,2
1,15,80,14,A,Normal,Ambiente,1
2,20,59,69,D,Fragil,Refrigerado,2
2,13,23,100,D,Fragil,Refrigerado,2
2,7,75,34,D,Fragil,Refrigerado,2
2,92,9,65,D,Fragil,Refrigerado,2
1,99,38,7,C,Normal,Refrigerado,1
1,40,42,59,A,Normal,Ambiente,1
2,31,34,44,D,Fragil,Refrigerado,2
1,16,20,64,A,Normal,Ambiente,1
1,43,86,43,C,Normal,Refrigerado,1
2,17,6,77,B,Fragil,Ambiente,2
2,10,87,40,D,Fragil,Refrigerado,2
1,69,31,9,A,Normal,Ambiente,1
2,68,17,100,B,Fragil,Ambiente,2
2,33,81,33,B,Fragil,Ambiente,2
1,7,72,57,C,Normal,Refrigerado,1
2,21,81,88,D,Fragil,Refrigerado,2
1,84,89,92,C,Normal,Refrigerado,1
1,51,5,36,A,Normal,Ambiente,1
2,96,48,34,D,Fragil,Refrigerado,2
1,20,14,91,C,Normal,Refrigerado,1
2,58,43,74,D,Fragil,Refrigerado,2
1,63,83,44,C,Normal,Refrigerado,1
2,41,77,66,B,Fragil,Ambiente,2
2,47,8,76,B,Fragil,Ambiente,2
1,42,49,88,A,Normal,Ambiente,1
1,74,60,99,A,Normal,Ambiente,1
1,76,19,10,A,Normal,Ambiente,1
2,34,34,83,B,Fragil,Ambiente,2
2,70,84,91,B,Fragil,Ambiente,2
1,11,79,95,C,Normal,Refrigerado,1
2,55,65,9,B,Fragil,Ambiente,2
2,51,18,60,D,Fragil,Refrigerado,2
1,83,55,83,C,Normal,Refrigerado,1
1,39,58,31,A,Normal,Ambiente,1
1,41,52,75,C,Normal,Refrigerado,1
2,14,5,59,D,Fragil,Refrigerado,2
1,22,14,35,C,Normal,Refrigerado,1
2,14,61,40,B,Fragil,Ambiente,2
2,80,11,87,B,Fragil,Ambiente,2
1,17,43,69,C,Normal,Refrigerado,1
1,37,46,60,C,Normal,Refrigerado,1
1,84,94,53,A,Normal,Ambiente,1
2,100,78,29,B,Fragil,Ambiente,2
2,71,29,62,B,Fragil,Ambiente,2
2,39,44,21,B,Fragil,Ambiente,2
1,44,60,11,A,Normal,Ambiente,1
2,99,93,100,B,Fragil,Ambiente,2
1,38,31,56,A,Normal,Ambiente,1
2,73,27,11,D,Fragil,Refrigerado,2
1,73,13,5,A,Normal,Ambiente,1
2,92,86,23,B,Fragil,Ambiente,2
1,30,25,34,A,Normal,Ambiente,1
2,42,26,18,B,Fragil,Ambiente,2
1,72,48,67,C,Normal,Refrigerado,1
2,84,90,35,D,Fragil,Refrigerado,2
2,45,76,76,D,Fragil,Refrigerado,2
2,9,47,99,D,Fragil,Refrigerado,2
1,15,7,98,C,Normal,Refrigerado,1
1,67,83,35,C,Normal,Refrigerado,1
2,61,7,99,B,Fragil,Ambiente,2
2,50,33,41,B,Fragil,Ambiente,2
2,89,51,49,B,Fragil,Ambiente,2
2,5,5,10,B,Fragil,Ambiente,2
1,46,33,40,A,Normal,Ambiente,1
1,28,15,45,C,Normal,Refrigerado,1
2,32,28,39,D,Fragil,Refrigerado,2
1,81,55,35,C,Normal,Refrigerado,1
1,72,7,88,A,Normal,Ambiente,1
2,33,66,25,D,Fragil,Refrigerado,2
1,69,44,64,C,Normal,Refrigerado,1
2,85,18,15,B,Fragil,Ambiente,2
2,98,70,43,D,Fragil,Refrigerado,2
1,68,44,16,C,Normal,Refrigerado,1
2,15,26,99,D,Fragil,Refrigerado,2
1,52,59,98,C,Normal,Refrigerado,1
1,17,83,96,A,Normal,Ambiente,1
2,25,84,47,B,Fragil,Ambiente,2
1,57,7,30,A,Normal,Ambiente,1
1,19,88,66,A,Normal,Ambiente,1
2,18,93,94,D,Fragil,Refrigerado,2
1,12,74,18,A,Normal,Ambiente,1
1,48,92,9,A,Normal,Ambiente,1
1,35,24,24,A,Normal,Ambiente,1
1,56,73,66,A,Normal,Ambiente,1
2,38,24,88,B,Fragil,Ambiente,2
2,51,42,88,B,Fragil,Ambiente,2
2,48,91,17,B,Fragil,Ambiente,2
1,71,31,30,C,Normal,Refrigerado,1
2,79,84,94,D,Fragil,Refrigerado,2
1,95,63,66,C,Normal,Refrigerado,1
2,25,54,45,D,Fragil,Refrigerado,2
1,92,44,83,A,Normal,Ambiente,1
2,89,64,71,B,Fragil,Ambiente,2
2,91,22,14,D,Fragil,Refrigerado,2
2,19,14,49,B,Fragil,Ambiente,2
2,66,86,66,B,Fragil,Ambiente,2
1,45,65,6,C,Normal,Refrigerado,1
1,46,28,42,A,Normal,Ambiente,1
1,30,71,95,A,Normal,Ambiente,1
2,64,73,58,D,Fragil,Refrigerado,2
2,10,88,68,B,Fragil,Ambiente,2
1,40,82,54,C,Normal,Refrigerado,1
1,25,98,45,C,Normal,Refrigerado,1
1,33,29,20,C,Normal,Refrigerado,1
2,92,45,25,D,Fragil,Refrigerado,2
1,92,71,98,C,Normal,Refrigerado,1
2,49,51,76,B,Fragil,Ambiente,2
1,96,66,56,C,Normal,Refrigerado,1
2,25,94,100,B,Fragil,Ambiente,2
2,7,69,12,D,Fragil,Refrigerado,2
2,95,34,70,B,Fragil,Ambiente,2
1,67,18,24,A,Normal,Ambiente,1
2,91,96,99,D,Fragil,Refrigerado,2
1,26,14,70,A,Normal,Ambiente,1
2,100,17,38,B,Fragil,Ambiente,2
1,94,20,5,A,Normal,Ambiente,1
2,27,18,32,D,Fragil,Refrigerado,2
2,41,5,66,B,Fragil,Ambiente,2
1,21,36,80,A,Normal,Ambiente,1
1,68,91,99,A,Normal,Ambiente,1
1,64,6,97,C,Normal,Refrigerado,1
1,82,36,99,C,Normal,Refrigerado,1
1,49,67,45,A,Normal,Ambiente,1
2,88,44,90,B,Fragil,Ambiente,2
2,82,53,79,D,Fragil,Refrigerado,2
1,16,42,55,C,Normal,Refrigerado,1
1,85,24,56,A,Normal,Ambiente,1
2,85,13,69,B,Fragil,Ambiente,2
1,20,15,30,A,Normal,Ambiente,1
2,20,39,7,B,Fragil,Ambiente,2
1,63,66,45,C,Normal,Refrigerado,1
1,100,51,7,C,Normal,Refrigerado,1
2,30,80,35,D,Fragil,Refrigerado,2
1,50,9,24,C,Normal,Refrigerado,1
1,49,75,49,A,Normal,Ambiente,1
2,69,60,8,D,Fragil,Refrigerado,2
1,34,81,59,C,Normal,Refrigerado,1
1,18,65,17,A,Normal,Ambiente,1
2,53,67,71,B,Fragil,Ambiente,2
1,61,19,57,A,Normal,Ambiente,1
2,47,70,16,D,Fragil,Refrigerado,2
1,87,32,76,A,Normal,Ambiente,1
1,24,38,100,A,Normal,Ambiente,1
1,86,45,41,C,Normal,Refrigerado,1
1,34,58,37,C,Normal,Refrigerado,1
1,72,13,47,A,Normal,Ambiente,1
1,41,72,57,A,Normal,Ambiente,1
1,8,45,33,A,Normal,Ambiente,1
2,32,13,70,B,Fragil,Ambiente,2
1,75,77,95,C,Normal,Refrigerado,1
2,53,33,59,B,Fragil,Ambiente,2
2,98,95,88,D,Fragil,Refrigerado,2
2,86,84,86,D,Fragil,Refrigerado,2
2,57,88,12,B,Fragil,Ambiente,2
1,53,52,86,A,Normal,Ambiente,1
1,47,88,55,A,Normal,Ambiente,1
1,52,65,65,C,Normal,Refrigerado,1
1,24,64,86,A,Normal,Ambiente,1
1,23,29,40,A,Normal,Ambiente,1
1,21,9,72,C,Normal,Refrigerado,1
2,19,15,24,D,Fragil,Refrigerado,2
2,99,15,40,B,Fragil,Ambiente,2
1,43,44,24,A,Normal,Ambiente,1
2,96,95,6,B,Fragil,Ambiente,2
1,6,55,58,A,Normal,Ambiente,1
1,26,31,6,C,Normal,Refrigerado,1
2,17,39,95,D,Fragil,Refrigerado,2
1,7,24,86,C,Normal,Refrigerado,1
1,22,92,40,A,Normal,Ambiente,1
1,18,86,56,C,Normal,Refrigerado,1
2,38,62,29,B,Fragil,Ambiente,2
2,52,93,72,D,Fragil,Refrigerado,2
1,18,18,45,C,Normal,Refrigerado,1
1,43,8,18,A,Normal,Ambiente,1
1,32,59,90,A,Normal,Ambiente,1
1,89,88,46,A,Normal,Ambiente,1
1,17,100,72,C,Normal,Refrigerado,1
2,55,62,80,B,Fragil,Ambiente,2
2,74,71,84,D,Fragil,Refrigerado,2
1,77,54,50,C,Normal,Refrigerado,1
1,87,39,71,A,Normal,Ambiente,1
1,96,96,95,C,Normal,Refrigerado,1
2,90,69,60,D,Fragil,Refrigerado,2
1,34,88,25,C,Normal,Refrigerado,1
2,63,27,92,D,Fragil,Refrigerado,2
1,48,8,49,C,Normal,Refrigerado,1
2,23,93,77,B,Fragil,Ambiente,2
1,19,13,96,A,Normal,Ambiente,1
2,82,89,68,B,Fragil,Ambiente,2
2,44,7,47,B,Fragil,Ambiente,2
1,31,32,91,C,Normal,Refrigerado,1
2,71,97,66,D,Fragil,Refrigerado,2
1,51,85,36,C,Normal,Refrigerado,1
2,97,64,50,D,Fragil,Refrigerado,2
2,65,48,40,D,Fragil,Refrigerado,2
1,67,40,32,A,Normal,Ambiente,1
2,36,60,73,D,Fragil,Refrigerado,2
2,25,38,16,B,Fragil,Ambiente,2
2,21,10,53,B,Fragil,Ambiente,2
1,95,74,98,C,Normal,Refrigerado,1
2,7,13,33,D,Fragil,Refrigerado,2
2,30,50,58,B,Fragil,Ambiente,2
2,49,77,45,D,Fragil,Refrigerado,2
1,29,9,53,C,Normal,Refrigerado,1
1,52,69,11,C,Normal,Refrigerado,1
1,65,94,32,A,Normal,Ambiente,1
1,12,13,74,A,Normal,Ambiente,1
1,41,95,31,A,Normal,Ambiente,1
2,72,98,48,D,Fragil,Refrigerado,2
1,23,61,36,A,Normal,Ambiente,1
2,59,81,83,D,Fragil,Refrigerado,2
1,73,8,51,C,Normal,Refrigerado,1
1,45,63,32,A,Normal,Ambiente,1
1,67,66,14,A,Normal,Ambiente,1
1,52,68,38,A,Normal,Ambiente,1
2,91,19,73,B,Fragil,Ambiente,2
2,52,63,88,B,Fragil,Ambiente,2
2,56,22,42,D,Fragil,Refrigerado,2
1,49,78,25,A,Normal,Ambiente,1
2,63,21,33,B,Fragil,Ambiente,2
2,44,87,81,D,Fragil,Refrigerado,2
1,60,50,64,A,Normal,Ambiente,1
1,20,20,68,A,Normal,Ambiente,1
2,96,40,13,D,Fragil,Refrigerado,2
1,98,9,10,C,Normal,Refrigerado,1
1,96,49,66,C,Normal,Refrigerado,1
1,68,61,32,A,Normal,Ambiente,1
2,6,97,86,B,Fragil,Ambiente,2
2,11,18,84,B,Fragil,Ambiente,2
1,97,19,66,C,Normal,Refrigerado,1
1,36,25,55,C,Normal,Refrigerado,1
1,69,58,52,A,Normal,Ambiente,1
2,9,70,14,D,Fragil,Refrigerado,2
1,73,36,74,C,Normal,Refrigerado,1
2,100,78,79,B,Fragil,Ambiente,2
2,50,18,83,B,Fragil,Ambiente,2
2,27,9,34,B,Fragil,Ambiente,2
1,99,44,29,A,Normal,Ambiente,1
2,11,89,44,D,Fragil,Refrigerado,2
2,97,88,81,D,Fragil,Refrigerado,2
1,87,58,47,C,Normal,Refrigerado,1
1,53,20,86,C,Normal,Refrigerado,1
2,96,66,89,D,Fragil,Refrigerado,2
1,12,37,53,A,Normal,Ambiente,1
2,53,93,44,D,Fragil,Refrigerado,2
1,33,22,76,A,Normal,Ambiente,1
2,73,54,35,D,Fragil,Refrigerado,2
1,17,31,7,C,Normal,Refrigerado,1
1,72,66,62,C,Normal,Refrigerado,1
2,10,49,62,D,Fragil,Refrigerado,2
2,76,20,41,D,Fragil,Refrigerado,2
2,46,68,75,D,Fragil,Refrigerado,2
2,94,39,68,B,Fragil,Ambiente,2
1,18,5,73,A,Normal,Ambiente,1
1,20,50,57,A,Normal,Ambiente,1
2,70,94,71,B,Fragil,Ambiente,2
2,75,57,97,B,Fragil,Ambiente,2
1,55,68,41,C,Normal,Refrigerado,1
2,47,85,60,B,Fragil,Ambiente,2
1,88,34,16,A,Normal,Ambiente,1
2,27,16,39,B,Fragil,Ambiente,2
2,13,18,67,D,Fragil,Refrigerado,2
2,14,43,56,D,Fragil,Refrigerado,2
2,43,90,88,B,Fragil,Ambiente,2
2,16,6,83,B,Fragil,Ambiente,2
1,7,11,36,C,Normal,Refrigerado,1
1,38,69,8,C,Normal,Refrigerado,1
2,10,52,88,B,Fragil,Ambiente,2
1,85,9,66,C,Normal,Refrigerado,1
1,85,81,14,A,Normal,Ambiente,1
2,89,32,57,D,Fragil,Refrigerado,2
2,28,24,59,D,Fragil,Refrigerado,2
2,54,22,22,B,Fragil,Ambiente,2
2,6,41,92,B,Fragil,Ambiente,2
1,50,40,88,A,Normal,Ambiente,1
1,60,65,13,A,Normal,Ambiente,1
2,18,73,11,D,Fragil,Refrigerado,2
2,78,48,24,B,Fragil,Ambiente,2
1,12,37,79,A,Normal,Ambiente,1
1,57,57,38,C,Normal,Refrigerado,1
2,99,12,44,B,Fragil,Ambiente,2
1,43,67,5,C,Normal,Refrigerado,1
2,54,59,23,B,Fragil,Ambiente,2
1,56,22,36,C,Normal,Refrigerado,1
2,88,45,47,D,Fragil,Refrigerado,2
1,34,12,18,A,Normal,Ambiente,1
